date,temperature_2m,precipitation,rain,wind_speed_10m
2026/1/26 0:00,5.6,0,0,7.8
2026/1/26 1:00,5.2,0,0,7.9
2026/1/26 2:00,5,0,0,8.3
2026/1/26 3:00,4.8,0,0,7.2
2026/1/26 4:00,4.7,0,0,6.2
2026/1/26 5:00,4.5,0,0,6.1
2026/1/26 6:00,4.3,0,0,5.6
2026/1/26 7:00,4.2,0,0,5.6
2026/1/26 8:00,4.1,0,0,5.2
2026/1/26 9:00,4.1,0,0,5.8
2026/1/26 10:00,4.3,0,0,8.3
2026/1/26 11:00,4.6,0,0,7.3
2026/1/26 12:00,4.9,0,0,9
2026/1/26 13:00,5.7,0,0,10.5
2026/1/26 14:00,6,0,0,11.2
2026/1/26 15:00,6.1,0,0,10.3
2026/1/26 16:00,6.2,0,0,8.8
2026/1/26 17:00,6.1,0.1,0.1,10.4
2026/1/26 18:00,5.8,0,0,11.6
2026/1/26 19:00,5.6,0,0,13.1
2026/1/26 20:00,5.3,0,0,14.3
2026/1/26 21:00,5.2,0,0,14.3
2026/1/26 22:00,5.3,0,0,15.3
2026/1/26 23:00,5.6,0,0,13.5
2026/1/27 0:00,6.2,0,0,15.8
2026/1/27 1:00,6.7,0.1,0.1,16.6
2026/1/27 2:00,6.2,0.3,0.3,20.5
2026/1/27 3:00,5.7,1.2,1.2,21.4
2026/1/27 4:00,5.9,1.7,1.7,21.2
2026/1/27 5:00,6.2,1.5,1.5,24.3
2026/1/27 6:00,5.8,1.6,1.6,26.8
2026/1/27 7:00,5.8,4.6,4.6,25.6
2026/1/27 8:00,5.9,1.6,1.6,22.7
2026/1/27 9:00,6.4,0.9,0.9,20.6
2026/1/27 10:00,6.9,0.7,0.7,21.6
2026/1/27 11:00,7.2,1,1,19.1
2026/1/27 12:00,7.1,0.9,0.9,16.5
2026/1/27 13:00,7.9,0.3,0.3,14
2026/1/27 14:00,8.6,0.2,0.2,12.2
2026/1/27 15:00,9.6,0,0,13.5
2026/1/27 16:00,9.1,0,0,14.3
2026/1/27 17:00,8.6,0,0,15.2
2026/1/27 18:00,7.9,0,0,13.7
2026/1/27 19:00,7.4,0,0,11.3
2026/1/27 20:00,6.8,0,0,12.7
2026/1/27 21:00,6.6,0.1,0.1,15
2026/1/27 22:00,6.3,0,0,13.4
2026/1/27 23:00,6.1,0,0,12.4
2026/1/28 0:00,5.7,0,0,9.9
2026/1/28 1:00,5.2,0,0,7.4
2026/1/28 2:00,4.8,0,0,6.3
2026/1/28 3:00,4.4,0,0,7.3
2026/1/28 4:00,4.3,0,0,8
2026/1/28 5:00,4.1,0,0,8
2026/1/28 6:00,2.8,0,0,5.3
2026/1/28 7:00,1.7,0,0,2.4
2026/1/28 8:00,1.5,0,0,0.9
2026/1/28 9:00,2.6,0,0,1.2
2026/1/28 10:00,4.3,0,0,2.2
2026/1/28 11:00,5.7,0,0,4.5
2026/1/28 12:00,7.5,0,0,2.9
2026/1/28 13:00,8.4,0.1,0.1,4.9
2026/1/28 14:00,8.8,0.1,0.1,3.2
2026/1/28 15:00,8.8,0,0,3.5
2026/1/28 16:00,8.1,0,0,2.7
2026/1/28 17:00,7.2,0,0,3.8
2026/1/28 18:00,5.8,0,0,2.3
2026/1/28 19:00,4.8,0,0,2.4
2026/1/28 20:00,4.1,0,0,2.5
2026/1/28 21:00,3.5,0,0,1.7
2026/1/28 22:00,2.6,0,0,2.3
2026/1/28 23:00,1.8,0,0,2.9
2026/1/29 0:00,2.5,0,0,3.8
2026/1/29 1:00,2.9,0,0,5.6
2026/1/29 2:00,2.6,0,0,6.7
2026/1/29 3:00,2.3,0,0,7.6
2026/1/29 4:00,1.9,0,0,6.7
2026/1/29 5:00,1.8,0,0,7.4
2026/1/29 6:00,1.9,0,0,7
2026/1/29 7:00,2.5,0,0,6.3
2026/1/29 8:00,3.3,0,0,6.8
2026/1/29 9:00,4.2,0,0,8.7
2026/1/29 10:00,4.9,0,0,11.4
2026/1/29 11:00,5.8,0,0,13.1
2026/1/29 12:00,6.4,0,0,14.2
2026/1/29 13:00,6.8,0,0,12.7
2026/1/29 14:00,6.6,0,0,12.3
2026/1/29 15:00,6.2,0,0,11.3
2026/1/29 16:00,5.8,0,0,10.9
2026/1/29 17:00,5.2,0,0,11.6
2026/1/29 18:00,5,0,0,13.5
2026/1/29 19:00,4.8,0,0,13.6
2026/1/29 20:00,4.7,0,0,12.8
2026/1/29 21:00,4.7,0,0,13.9
2026/1/29 22:00,4.7,0,0,14.1
2026/1/29 23:00,4.6,0,0,13.4
2026/1/30 0:00,4.1,0,0,13.8
2026/1/30 1:00,3.9,0.3,0.3,13.7
2026/1/30 2:00,3.9,0.5,0.5,14.6
2026/1/30 3:00,4.1,0,0,13.9
2026/1/30 4:00,4.7,0.1,0.1,14
2026/1/30 5:00,5.4,0.5,0.5,14.5
2026/1/30 6:00,5.8,0.7,0.7,14.4
2026/1/30 7:00,6.1,0.1,0.1,13
2026/1/30 8:00,6.2,0.1,0.1,12.1
2026/1/30 9:00,6.8,0,0,9.3
2026/1/30 10:00,8.1,0,0,9.2
2026/1/30 11:00,9.4,0,0,9.4
2026/1/30 12:00,9.8,0,0,10.9
2026/1/30 13:00,10.4,0.1,0.1,10.9
2026/1/30 14:00,10.4,0,0,10.8
2026/1/30 15:00,9.9,0,0,12.7
2026/1/30 16:00,9.2,0,0,14.4
2026/1/30 17:00,8.8,0,0,16.6
